"Arte Da Capoeira
",http://capoeiralyrics.info/songs/arte-da-capoeira.html
"Arte E Luta
",http://capoeiralyrics.info/songs/arte-e-luta.html
"Arte E Magia
",http://capoeiralyrics.info/songs/arte-e-magia.html
"Arte Popular
",http://capoeiralyrics.info/songs/arte-popular.html
"Arte Secular
",http://capoeiralyrics.info/songs/arte-secular.html
"Aruanda E
",http://capoeiralyrics.info/songs/aruanda-e.html
"Aruanda
",http://capoeiralyrics.info/songs/aruanda.html
"Aruande
",http://capoeiralyrics.info/songs/aruande.html
"As Criancas Gemendo, E O Feitor Com A Chibata Na Mao
",http://capoeiralyrics.info/songs/as-criancas-gemendo-e-o-feitor-com-a-chibata-na-mao.html
"As Vezes Me Chamam De Negro
",http://capoeiralyrics.info/songs/as-vezes-me-chamam-de-negro.html
"Ate Parece Que A Capoeira E Brincadeira
",http://capoeiralyrics.info/songs/ate-parece-que-a-capoeira-e-brincadeira.html
"Atleta Da LíNgua
",http://capoeiralyrics.info/songs/atleta-da-lingua.html
"Atras De Cada Nuvem
",http://capoeiralyrics.info/songs/atras-de-cada-nuvem.html
"Aue, Aue, Aue E 
",http://capoeiralyrics.info/songs/aue-aue-aue-e-e-da-nossa-cor.html
"Aue Aue Aue
",http://capoeiralyrics.info/songs/aue-aue-aue.html
"Ave Maria, Meu Deus
",http://capoeiralyrics.info/songs/ave-maria-meu-deus.html
"Avisa La Meu Mano
",http://capoeiralyrics.info/songs/avisa-la-meu-mano.html
"Avisa Meu Mano 
",http://capoeiralyrics.info/songs/avisa-meu-mano-m-suassuna.html
"Avisa Meu Mano
",http://capoeiralyrics.info/songs/avisa-meu-mano.html
"Axe, Axe!
",http://capoeiralyrics.info/songs/axe-axe.html
"Axe Da Bahia
",http://capoeiralyrics.info/songs/axe-da-bahia.html
"Axe Do Terreiro
",http://capoeiralyrics.info/songs/axe-do-terreiro.html
"Axe Europa
",http://capoeiralyrics.info/songs/axe-europa.html
"B-A-Ba Do Berimbau
",http://capoeiralyrics.info/songs/b-a-ba-do-berimbau.html
"Bahia Axe, Axe Bahia
",http://capoeiralyrics.info/songs/bahia-axe-axe-bahia.html
"Bahia Axe
",http://capoeiralyrics.info/songs/bahia-axe.html
"Bahia Capoeira
",http://capoeiralyrics.info/songs/bahia-capoeira.html
"Bahia Comeca Com B
",http://capoeiralyrics.info/songs/bahia-comeca-com-b.html
"Bahia Da Capoeira
",http://capoeiralyrics.info/songs/bahia-da-capoeira.html
"Bahia De Outrora
",http://capoeiralyrics.info/songs/bahia-de-outrora.html
"Bahia De Qualquer Maneira
",http://capoeiralyrics.info/songs/bahia-de-qualquer-maneira.html
"Bahia De Todos Os Santos
",http://capoeiralyrics.info/songs/bahia-de-todos-os-santos.html
"Bahia Dos Todos Os Santos
",http://capoeiralyrics.info/songs/bahia-dos-todos-os-santos.html
"Bahia Manda Seu Axe Pra Mim
",http://capoeiralyrics.info/songs/bahia-manda-seu-axe-pra-mim.html
"Bahia, Minha Bahia
",http://capoeiralyrics.info/songs/bahia-minha-bahia.html
"Bahia, Nossa Bahia
",http://capoeiralyrics.info/songs/bahia-nossa-bahia.html
"Bahia O Africa
",http://capoeiralyrics.info/songs/bahia-o-africa.html
"Bahia Que Tem Dende
",http://capoeiralyrics.info/songs/bahia-que-tem-dende.html
"Bahia Quem Tem Dende
",http://capoeiralyrics.info/songs/bahia-quem-tem-dende.html
"Bahia Sinto Saudade De Voce
",http://capoeiralyrics.info/songs/bahia-sinto-saudade-de-voce.html
"Balanca O Corpo
",http://capoeiralyrics.info/songs/balanca-o-corpo.html
"Balanca O Galho
",http://capoeiralyrics.info/songs/balanca-o-galho.html
"Balanca Vamos La
",http://capoeiralyrics.info/songs/balanca-vamos-la.html
"Balanco Do Corpo
",http://capoeiralyrics.info/songs/balanco-do-corpo.html
"Baleiro
",http://capoeiralyrics.info/songs/baleiro.html
"Bamba De Capoeira
",http://capoeiralyrics.info/songs/bamba-de-capoeira.html
"Banda De Costas Tombo Na Ladeira
",http://capoeiralyrics.info/songs/banda-de-costas-tombo-na-ladeira.html
"Barauna Caiu Quanto Mais Eu
",http://capoeiralyrics.info/songs/barauna-caiu-quanto-mais-eu.html
"Barravento
",http://capoeiralyrics.info/songs/barravento.html
"Batalha De Camujere
",http://capoeiralyrics.info/songs/batalha-de-camujere.html
"Bate Asa Arauna
",http://capoeiralyrics.info/songs/bate-asa-arauna.html
"Bate Batuque Bate
",http://capoeiralyrics.info/songs/bate-batuque-bate.html
"Bate No Batuque
",http://capoeiralyrics.info/songs/bate-no-batuque.html
"Bate Palma Pra Ele
",http://capoeiralyrics.info/songs/bate-palma-pra-ele.html
"Bate Palmas Pra Ele
",http://capoeiralyrics.info/songs/bate-palmas-pra-ele.html
"Beijo Na Boca
",http://capoeiralyrics.info/songs/beijo-na-boca.html
"Beira Mar  2
",http://capoeiralyrics.info/songs/beira-mar-2.html
"Beira Mar Aue Beira Mar
",http://capoeiralyrics.info/songs/beira-mar-aue-beira-mar.html
"Beira Mar Io Io, Beira Mar Ia Ia
",http://capoeiralyrics.info/songs/beira-mar-io-io-beira-mar-ia-ia.html
"Beira-Mar
",http://capoeiralyrics.info/songs/beira-mar.html
"Bem Mansinho
",http://capoeiralyrics.info/songs/bem-mansinho.html
"Bem-Te-Vi Jogou
",http://capoeiralyrics.info/songs/bem-te-vi-jogou.html
"Bem-Te-Vi Tambem Te Viu
",http://capoeiralyrics.info/songs/bem-te-vi-tambem-te-viu.html
"Berimba U Choro U
",http://capoeiralyrics.info/songs/berimba-u-choro-u.html
"Berimbau Bateu, Camafeu
",http://capoeiralyrics.info/songs/berimbau-bateu-camafeu.html
"Berimbau Berimbau Berimbau
",http://capoeiralyrics.info/songs/berimbau-berimbau-berimbau.html
"Berimbau Berimbau
",http://capoeiralyrics.info/songs/berimbau-berimbau.html
"Berimbau Chamou Voce
",http://capoeiralyrics.info/songs/berimbau-chamou-voce.html
"Berimbau Chamou
",http://capoeiralyrics.info/songs/berimbau-chamou.html
"Berimbau Chora
",http://capoeiralyrics.info/songs/berimbau-chora.html
"Berimbau Chorou
",http://capoeiralyrics.info/songs/berimbau-chorou.html
"Berimbau De Mestre Waldemar 
",http://capoeiralyrics.info/songs/berimbau-de-mestre-waldemar-viola-de-waldemar.html
"Berimbau De Mestre Waldemar
",http://capoeiralyrics.info/songs/berimbau-de-mestre-waldemar.html
"Berimbau De Ouro 
",http://capoeiralyrics.info/songs/berimbau-de-ouro-ladainha-m-acordeon.html
"Berimbau Ee Berimbau
",http://capoeiralyrics.info/songs/berimbau-ee-berimbau.html
"Berimbau Falou
",http://capoeiralyrics.info/songs/berimbau-falou.html
"Berimbau Mandou Benzer
",http://capoeiralyrics.info/songs/berimbau-mandou-benzer.html
"Berimbau Mandou Se Benzer
",http://capoeiralyrics.info/songs/berimbau-mandou-se-benzer.html
"Berimbau Me Falou
",http://capoeiralyrics.info/songs/berimbau-me-falou.html
"Berimbau Me Leva E Capoeira Vai Jogar
",http://capoeiralyrics.info/songs/berimbau-me-leva-e-capoeira-vai-jogar.html
"Berimbau Me Leva
",http://capoeiralyrics.info/songs/berimbau-me-leva.html
"Berimbau Meu, Berimbau
",http://capoeiralyrics.info/songs/berimbau-meu-berimbau.html
"Berimbau Meu
",http://capoeiralyrics.info/songs/berimbau-meu.html
"Berimbau Tocou Dentro Do Canavial
",http://capoeiralyrics.info/songs/berimbau-tocou-dentro-do-canavial.html
"Berimbau Tocou Lembrando
",http://capoeiralyrics.info/songs/berimbau-tocou-lembrando.html
"Berimbau Tocou Sereno
",http://capoeiralyrics.info/songs/berimbau-tocou-sereno.html
"Berimbau Tocou, Vamos Tocar Berimbau
",http://capoeiralyrics.info/songs/berimbau-tocou-vamos-tocar-berimbau.html
"Berimbau Vem Me Ajudar
",http://capoeiralyrics.info/songs/berimbau-vem-me-ajudar.html
"Berimbau Viola
",http://capoeiralyrics.info/songs/berimbau-viola.html
"Berimbau Vozeiro
",http://capoeiralyrics.info/songs/berimbau-vozeiro.html
"Berimbau
",http://capoeiralyrics.info/songs/berimbau.html
"Berimbeu Bateu
",http://capoeiralyrics.info/songs/berimbeu-bateu.html
"Besouro Antes De Morrer
",http://capoeiralyrics.info/songs/besouro-antes-de-morrer.html
"Besouro,Cordau De Oro
",http://capoeiralyrics.info/songs/besouro-cordau-de-oro.html
"Besouro Manganga
",http://capoeiralyrics.info/songs/besouro-manganga.html
"Besouro Preto
",http://capoeiralyrics.info/songs/besouro-preto.html
"Besouro
",http://capoeiralyrics.info/songs/besouro.html
"Bicho Bom O Que E? E Mulher
",http://capoeiralyrics.info/songs/bicho-bom-o-que-e-e-mulher.html
"Bimba Ensina Eu
",http://capoeiralyrics.info/songs/bimba-ensina-eu.html
"Bimba Foi Bimba E
",http://capoeiralyrics.info/songs/bimba-foi-bimba-e.html
"Bimba Foi Desafiado
",http://capoeiralyrics.info/songs/bimba-foi-desafiado.html
"Bimba Mandou Bater
",http://capoeiralyrics.info/songs/bimba-mandou-bater.html
"Bimba Mandou
",http://capoeiralyrics.info/songs/bimba-mandou.html
"Biriba E Pau
",http://capoeiralyrics.info/songs/biriba-e-pau.html
"Boa Noite, Bom Dia
",http://capoeiralyrics.info/songs/boa-noite-bom-dia.html
"Boa Noite 
",http://capoeiralyrics.info/songs/boa-noite-maculele.html
"Boa Noite Pra Quem E De Boa Noite
",http://capoeiralyrics.info/songs/boa-noite-pra-quem-e-de-boa-noite.html
"Boa Viagem
",http://capoeiralyrics.info/songs/boa-viagem.html
"Boi Lambeu
",http://capoeiralyrics.info/songs/boi-lambeu.html
"Boi Maia
",http://capoeiralyrics.info/songs/boi-maia.html
"Bom Jesus Da Lapa E
",http://capoeiralyrics.info/songs/bom-jesus-da-lapa-e.html
"Bota Dende
",http://capoeiralyrics.info/songs/bota-dende.html
"Bota Molejo No Jogo
",http://capoeiralyrics.info/songs/bota-molejo-no-jogo.html
"Braco Forte
",http://capoeiralyrics.info/songs/braco-forte.html
"Briembau Berimbau Meu, Berimbau
",http://capoeiralyrics.info/songs/briembau-berimbau-meu-berimbau.html
"Brincadeira Mandinga
",http://capoeiralyrics.info/songs/brincadeira-mandinga.html
"Brincadeira Tem Hora
",http://capoeiralyrics.info/songs/brincadeira-tem-hora.html
"Brincadeira
",http://capoeiralyrics.info/songs/brincadeira.html
"Buraco De Cobra
",http://capoeiralyrics.info/songs/buraco-de-cobra.html
"Cabana De Guerreiro
",http://capoeiralyrics.info/songs/cabana-de-guerreiro.html
"Cabra Correu
",http://capoeiralyrics.info/songs/cabra-correu.html
"Cabra Mal
",http://capoeiralyrics.info/songs/cabra-mal.html
"Cabra Correu
",http://capoeiralyrics.info/songs/cabra-sorreu.html
"Cade A Minha Corda
",http://capoeiralyrics.info/songs/cade-a-minha-corda.html
"Cadencia
",http://capoeiralyrics.info/songs/cadencia.html
"Cai Cai Cai Cai
",http://capoeiralyrics.info/songs/cai-cai-cai-cai.html
"Caimao, Caimao
",http://capoeiralyrics.info/songs/caimao-caimao.html
"Cais Da Bahia 
",http://capoeiralyrics.info/songs/cais-da-bahia-foi-la.html
"Cais Da Bahia
",http://capoeiralyrics.info/songs/cais-da-bahia.html
"Cajue 
",http://capoeiralyrics.info/songs/cajue-vou-mandar-eu-vou.html
"Cajue
",http://capoeiralyrics.info/songs/cajue.html
"Cajueiro
",http://capoeiralyrics.info/songs/cajueiro.html
"Camaradinha
",http://capoeiralyrics.info/songs/camaradinha.html
"Camisa Mestre Mandingueiro
",http://capoeiralyrics.info/songs/camisa-mestre-mandingueiro.html
"Camugere
",http://capoeiralyrics.info/songs/camugere.html
"Camujere
",http://capoeiralyrics.info/songs/camujere.html
"Canarinho Da Alemanha
",http://capoeiralyrics.info/songs/canarinho-da-alemanha.html
"Canta, Danca Minha Sereia
",http://capoeiralyrics.info/songs/canta-danca-minha-sereia.html
"Cantador Waldemar 
",http://capoeiralyrics.info/songs/cantador-waldemar-waldemar-da-paixao.html
"Cantador Waldemar
",http://capoeiralyrics.info/songs/cantador-waldemar.html
"Cantando Atravessado
",http://capoeiralyrics.info/songs/cantando-atravessado.html
"Cantei Pra Ioio Cantei Pra Iaia
",http://capoeiralyrics.info/songs/cantei-pra-ioio-cantei-pra-iaia.html
"Canto De Saida
",http://capoeiralyrics.info/songs/canto-de-saida.html
"Canto Ha Muitos Anos
",http://capoeiralyrics.info/songs/canto-ha-muitos-anos.html
"Capenga Ontem Teve Aqui
",http://capoeiralyrics.info/songs/capenga-ontem-teve-aqui.html
"Capenga
",http://capoeiralyrics.info/songs/capenga.html
"Capitao Do Mato
",http://capoeiralyrics.info/songs/capitao-do-mato.html
